label,precision,recall,f1-score,support,accuracy
1,0.5373134328358209,0.72,0.6153846153846154,50.0,0.5221238938053098
2,0.525,0.4666666666666667,0.49411764705882355,45.0,0.5221238938053098
3,0.0,0.0,0.0,3.0,0.5221238938053098
4,0.5,0.16666666666666666,0.25,6.0,0.5221238938053098
5,1.0,0.14285714285714285,0.25,7.0,0.5221238938053098
6,0.0,0.0,0.0,2.0,0.5221238938053098
7,0.0,0.0,0.0,0.0,0.5221238938053098
micro avg,0.5221238938053098,0.5221238938053098,0.5221238938053098,113.0,0.5221238938053098
macro avg,0.366044776119403,0.21374149659863945,0.229928894634777,113.0,0.5221238938053098
weighted avg,0.5353156782459385,0.5221238938053098,0.4978276538661755,113.0,0.5221238938053098
