label,precision,recall,f1-score,support,accuracy
1,0.5,0.7391304347826086,0.5964912280701754,23.0,0.4716981132075472
2,0.4375,0.3333333333333333,0.37837837837837834,21.0,0.4716981132075472
3,0.0,0.0,0.0,2.0,0.4716981132075472
4,0.0,0.0,0.0,4.0,0.4716981132075472
5,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0,0.4716981132075472
6,0.0,0.0,0.0,0.0,0.4716981132075472
7,0.0,0.0,0.0,0.0,0.4716981132075472
micro avg,0.4716981132075472,0.4716981132075472,0.4716981132075472,53.0,0.4716981132075472
macro avg,0.18154761904761904,0.20082815734989645,0.1868861342545553,53.0,0.4716981132075472
weighted avg,0.4091981132075472,0.4716981132075472,0.42764611682188636,53.0,0.4716981132075472
