label,precision,recall,f1-score,support,accuracy
1,0.7368421052631579,0.7,0.717948717948718,20.0,0.660377358490566
2,0.72,0.75,0.7346938775510204,24.0,0.660377358490566
3,0.0,0.0,0.0,0.0,0.660377358490566
4,0.5,0.375,0.42857142857142855,8.0,0.660377358490566
5,0.0,0.0,0.0,0.0,0.660377358490566
6,0.0,0.0,0.0,1.0,0.660377358490566
7,0.0,0.0,0.0,0.0,0.660377358490566
micro avg,0.660377358490566,0.660377358490566,0.660377358490566,53.0,0.660377358490566
macro avg,0.2795488721804511,0.26071428571428573,0.2687448605815953,53.0,0.660377358490566
weighted avg,0.6795630585898709,0.660377358490566,0.6683056386560431,53.0,0.660377358490566
