label,precision,recall,f1-score,support,accuracy
1,0.5194805194805194,0.8,0.6299212598425197,50.0,0.5398230088495575
2,0.5714285714285714,0.4444444444444444,0.5,45.0,0.5398230088495575
3,0.0,0.0,0.0,3.0,0.5398230088495575
4,1.0,0.16666666666666666,0.2857142857142857,6.0,0.5398230088495575
5,0.0,0.0,0.0,7.0,0.5398230088495575
6,0.0,0.0,0.0,2.0,0.5398230088495575
7,0.0,0.0,0.0,0.0,0.5398230088495575
micro avg,0.5398230088495575,0.5398230088495575,0.5398230088495575,113.0,0.5398230088495575
macro avg,0.2987012987012987,0.2015873015873016,0.20223364936525792,113.0,0.5398230088495575
weighted avg,0.5105160326399264,0.5398230088495575,0.4930119354549708,113.0,0.5398230088495575
