label,precision,recall,f1-score,support,accuracy
1,0.5909090909090909,0.65,0.6190476190476191,20.0,0.660377358490566
2,0.7037037037037037,0.7916666666666666,0.7450980392156864,24.0,0.660377358490566
3,0.0,0.0,0.0,0.0,0.660377358490566
4,0.75,0.375,0.5,8.0,0.660377358490566
5,0.0,0.0,0.0,0.0,0.660377358490566
6,0.0,0.0,0.0,1.0,0.660377358490566
7,0.0,0.0,0.0,0.0,0.660377358490566
micro avg,0.660377358490566,0.660377358490566,0.660377358490566,53.0,0.660377358490566
macro avg,0.29208754208754206,0.25952380952380955,0.26630652260904364,53.0,0.660377358490566
weighted avg,0.6548503906994473,0.660377358490566,0.6464774589080916,53.0,0.660377358490566
